Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,28681.550781,28777.599609,28474.699219,28737.300781,28737.300781,1084494200
2023-01-03,28713.699219,29032.400391,28636.400391,28962.300781,28962.300781,14200
2023-01-04,28912.599609,28925.449219,28600.750000,28677.800781,28677.800781,17300
2023-01-05,28803.050781,28803.050781,28386.000000,28527.750000,28527.750000,21300
2023-01-06,28466.900391,28507.150391,27908.750000,27956.449219,27956.449219,18900
2023-01-09,28134.050781,28780.000000,28134.050781,28748.150391,28748.150391,26300
2023-01-10,28627.800781,28661.699219,28242.900391,28502.699219,28502.699219,19600
2023-01-11,28550.650391,28946.000000,28460.000000,28596.349609,28596.349609,19400
2023-01-12,28722.449219,28832.599609,28509.500000,28720.300781,28720.300781,21500
2023-01-13,28717.000000,29060.949219,28292.300781,28933.750000,28933.750000,34600
2023-01-16,29037.050781,29327.900391,28895.400391,29264.650391,29264.650391,30100
2023-01-17,29291.150391,29518.849609,29259.099609,29498.000000,29498.000000,22500
2023-01-18,29580.250000,29715.800781,29541.949219,29617.800781,29617.800781,25500
2023-01-19,29487.500000,29714.949219,29396.050781,29632.349609,29632.349609,19700
2023-01-20,29574.449219,29783.800781,29479.699219,29529.650391,29529.650391,24000
2023-01-23,29620.250000,30124.050781,29505.500000,30086.000000,30086.000000,18300
2023-01-24,30220.500000,30499.750000,30151.550781,30316.900391,30316.900391,23100
2023-01-25,30208.099609,30231.400391,30004.750000,30043.900391,30043.900391,14000
2023-01-27,30052.699219,30234.349609,29542.449219,29766.449219,29766.449219,19800
2023-01-30,29842.699219,30224.500000,29606.349609,30094.849609,30094.849609,21200
2023-01-31,30163.199219,30172.750000,29556.300781,29740.349609,29740.349609,29500
2023-02-01,29885.949219,30083.400391,29659.000000,30018.250000,30018.250000,17600
2023-02-02,30124.900391,30610.099609,30107.099609,30566.750000,30566.750000,23900
2023-02-03,30839.050781,30849.599609,30417.900391,30597.650391,30597.650391,20000
2023-02-06,30502.900391,30534.699219,30186.699219,30411.099609,30411.099609,14200
2023-02-07,30429.750000,30544.099609,30250.750000,30310.699219,30310.699219,13700
2023-02-08,30415.599609,30938.400391,30415.599609,30774.050781,30774.050781,21900
2023-02-09,30769.800781,31012.949219,30665.449219,30990.849609,30990.849609,15900
2023-02-10,30839.250000,30900.150391,30636.400391,30870.199219,30870.199219,13800
2023-02-13,30790.199219,30792.849609,30238.050781,30289.650391,30289.650391,20400
2023-02-14,30481.500000,30759.449219,30457.400391,30588.750000,30588.750000,16900
2023-02-15,30512.000000,30959.300781,30324.199219,30934.349609,30934.349609,17300
2023-02-16,31042.300781,31587.349609,31024.150391,31434.849609,31434.849609,32200
2023-02-17,31147.099609,31218.250000,30963.050781,31054.849609,31054.849609,15800
2023-02-20,31056.050781,31405.300781,30961.949219,31222.349609,31222.349609,15900
2023-02-21,31318.349609,31393.000000,30911.050781,30947.250000,30947.250000,13400
2023-02-22,30621.099609,30815.900391,30503.349609,30608.199219,30608.199219,14900
2023-02-23,30759.599609,30899.400391,30497.550781,30598.400391,30598.400391,15700
